video_id,title,published_at,subscriberCount,videoCount,viewCount,video_published_date,video_commentCount,video_viewCount,video_likeCount,video_dislikeCount,likesVSviews,rating,raw_rating
3A7A4Geuz1Q,Laugh Factory,2006-07-31T22:18:05.000Z,1090000,1961,478876765,2019-10-11 17:30:00,61,40651,516,77,0.010799242331061967,0.2227925157259493,0.010799242331061968
Rd5m-kpvkPw,Laugh Factory,2006-07-31T22:18:05.000Z,1090000,1961,478876765,2019-10-18 17:30:00,42,66694,989,41,0.014214172189402345,0.2999451490986025,0.014214172189402343
uAgt9SgbR_0,Laugh Factory,2006-07-31T22:18:05.000Z,1090000,1961,478876765,2019-10-06 17:30:00,38,46156,989,30,0.02077736372302626,0.4482256500615937,0.02077736372302626
ZR53TTTCGvs,Laugh Factory,2006-07-31T22:18:05.000Z,1090000,1961,478876765,2019-10-05 17:30:00,53,17973,877,31,0.04707060590886329,1.0,0.047070605908863285
r9UsfuP93l4,Laugh Factory,2006-07-31T22:18:05.000Z,1090000,1961,478876765,2019-10-03 17:30:00,38,13006,455,7,0.03444564047362755,0.7570295168231791,0.03444564047362755
ydf_SX8Vq2Q,Laugh Factory,2006-07-31T22:18:05.000Z,1090000,1961,478876765,2019-10-02 17:30:00,49,14037,452,21,0.03070456650281399,0.6725083932676786,0.030704566502813987
Dcsq6ZjZLr0,Laugh Factory,2006-07-31T22:18:05.000Z,1090000,1961,478876765,2019-09-26 17:30:01,29,17839,435,18,0.023375749761757946,0.5069303185973961,0.023375749761757943
KVDz736ut5k,Laugh Factory,2006-07-31T22:18:05.000Z,1090000,1961,478876765,2019-09-29 17:30:00,23,54216,794,57,0.01359377305592445,0.2859286307876836,0.01359377305592445
kgzIqraJWjM,Laugh Factory,2006-07-31T22:18:05.000Z,1090000,1961,478876765,2019-09-27 17:30:04,30,31323,485,39,0.014238738307314114,0.3005001650922713,0.014238738307314112
VCpvfAwMIHY,Laugh Factory,2006-07-31T22:18:05.000Z,1090000,1961,478876765,2019-10-04 17:30:05,74,90525,1620,75,0.017067108533554268,0.3644008073190156,0.017067108533554268
iB3fROT3f2M,Laugh Factory,2006-07-31T22:18:05.000Z,1090000,1961,478876765,2019-09-25 17:30:00,109,125113,1845,32,0.01449090022619552,0.30619719457312183,0.014490900226195518
MVCK7hs_gn8,Laugh Factory,2006-07-31T22:18:05.000Z,1090000,1961,478876765,2019-09-22 17:30:00,29,39816,679,49,0.015822784810126583,0.33628812096440697,0.015822784810126583
1tBCs0Kc3ow,Laugh Factory,2006-07-31T22:18:05.000Z,1090000,1961,478876765,2019-09-20 17:30:00,45,34239,643,29,0.017932766728000232,0.3839584006145279,0.017932766728000232
TMbQN_e9ias,Laugh Factory,2006-07-31T22:18:05.000Z,1090000,1961,478876765,2019-09-14 17:30:00,18,6928,195,56,0.0200635103926097,0.4320977450772605,0.0200635103926097
EsIhKF3ZShQ,Laugh Factory,2006-07-31T22:18:05.000Z,1090000,1961,478876765,2019-09-15 17:30:00,46,61121,912,55,0.014021367451448765,0.29558916116417616,0.014021367451448764
q9N-hTINxSA,Laugh Factory,2006-07-31T22:18:05.000Z,1090000,1961,478876765,2019-09-13 17:30:03,22,33463,534,26,0.015180946119594776,0.321787224246414,0.015180946119594776
7DaPlpWE65A,Laugh Factory,2006-07-31T22:18:05.000Z,1090000,1961,478876765,2019-09-24 17:30:01,26,15800,413,47,0.023164556962025316,0.5021588939050499,0.02316455696202532
XowCdzg6lEo,Laugh Factory,2006-07-31T22:18:05.000Z,1090000,1961,478876765,2019-09-21 17:30:01,28,15233,493,20,0.031051007680693233,0.6803354498371794,0.031051007680693236
Y82Bk2VWD-M,Laugh Factory,2006-07-31T22:18:05.000Z,1090000,1961,478876765,2019-09-08 17:30:00,70,107289,1577,96,0.013803838231319147,0.29067457935292457,0.013803838231319148
Diae3teaxJc,Laugh Factory,2006-07-31T22:18:05.000Z,1090000,1961,478876765,2019-09-06 17:30:00,36,37117,654,37,0.016623110703990085,0.35436967836948363,0.016623110703990085
vmF01L-oVxM,Laugh Factory,2006-07-31T22:18:05.000Z,1090000,1961,478876765,2019-09-04 17:30:05,62,46860,1554,29,0.03254374733247973,0.7140605334706911,0.03254374733247973
8aSNvnzEBUU,Laugh Factory,2006-07-31T22:18:05.000Z,1090000,1961,478876765,2019-09-05 17:30:00,22,12310,326,42,0.02307067424857839,0.5000378258682028,0.02307067424857839
2XjB6DdU-wc,Laugh Factory,2006-07-31T22:18:05.000Z,1090000,1961,478876765,2019-08-30 17:30:00,60,109149,2163,75,0.019129813374378142,0.41100296810758985,0.019129813374378142
uyKTESJBoUA,Laugh Factory,2006-07-31T22:18:05.000Z,1090000,1961,478876765,2019-09-01 17:30:00,63,85049,1332,87,0.014638620089595409,0.30953459151406193,0.014638620089595409
ZtJs-_5yL3M,Laugh Factory,2006-07-31T22:18:05.000Z,1090000,1961,478876765,2019-08-27 17:30:00,44,24519,527,39,0.019902932419756107,0.4284698481712554,0.01990293241975611
oHD8CVYxiXI,Laugh Factory,2006-07-31T22:18:05.000Z,1090000,1961,478876765,2019-08-23 17:30:02,73,162723,2258,91,0.013317109443655783,0.2796780408399029,0.013317109443655785
EmSjHKNZJr8,Laugh Factory,2006-07-31T22:18:05.000Z,1090000,1961,478876765,2019-08-29 17:30:01,26,14920,378,114,0.01769436997319035,0.3785723639508009,0.01769436997319035
cvnDFULNhms,Laugh Factory,2006-07-31T22:18:05.000Z,1090000,1961,478876765,2019-08-28 17:30:01,24,9149,347,24,0.0353044048529894,0.7764313599247527,0.0353044048529894
foxfQn5wv18,Laugh Factory,2006-07-31T22:18:05.000Z,1090000,1961,478876765,2019-08-23 17:30:01,41,69961,1064,50,0.014493789396949728,0.3062624688660641,0.014493789396949728
pdaicCDz52E,Laugh Factory,2006-07-31T22:18:05.000Z,1090000,1961,478876765,2019-08-18 17:30:00,76,101545,1230,96,0.011167462701265448,0.23111162399497195,0.011167462701265448
MK3iMWQUApE,Laugh Factory,2006-07-31T22:18:05.000Z,1090000,1961,478876765,2019-08-16 17:30:01,24,28136,451,24,0.015176286607904464,0.3216819530953067,0.015176286607904462
URRbxHIeUqM,Laugh Factory,2006-07-31T22:18:05.000Z,1090000,1961,478876765,2019-08-13 17:30:01,18,8346,380,17,0.04349388928828181,0.961454278800818,0.043493889288281816
mtSksiSAPxs,Laugh Factory,2006-07-31T22:18:05.000Z,1090000,1961,478876765,2019-08-11 17:30:02,80,131168,2133,99,0.015506830934374237,0.32914985618305176,0.015506830934374237
kYENHRiEQFI,Laugh Factory,2006-07-31T22:18:05.000Z,1090000,1961,478876765,2019-08-09 17:30:05,46,66788,1111,75,0.015511768581182249,0.3292614111694512,0.015511768581182247
HfwiYNRYk1I,Laugh Factory,2006-07-31T22:18:05.000Z,1090000,1961,478876765,2019-08-06 17:30:00,37,10550,300,78,0.02104265402843602,0.4542192858080525,0.02104265402843602
FLCxt4Y_rmM,Laugh Factory,2006-07-31T22:18:05.000Z,1090000,1961,478876765,2019-08-04 17:30:00,52,34699,660,47,0.017666215164702154,0.3779362695924756,0.017666215164702154
0PR1pH4Dke4,Laugh Factory,2006-07-31T22:18:05.000Z,1090000,1961,478876765,2019-08-10 17:30:01,35,14395,371,64,0.02132684960055575,0.4606400433906229,0.02132684960055575
MsnfPBu9s14,Laugh Factory,2006-07-31T22:18:05.000Z,1090000,1961,478876765,2019-08-02 17:30:00,33,19443,396,18,0.019441444221570747,0.4180435638148016,0.019441444221570747
qYg1YzDJdEM,Laugh Factory,2006-07-31T22:18:05.000Z,1090000,1961,478876765,2019-07-21 17:30:00,78,100941,1530,80,0.014364826978135743,0.3033488540539457,0.014364826978135743
Y3XiUg2rk5U,Laugh Factory,2006-07-31T22:18:05.000Z,1090000,1961,478876765,2019-07-19 17:30:02,39,43965,755,48,0.01608097350164904,0.3421213117719272,0.01608097350164904
xm9gXZwQvxg,Laugh Factory,2006-07-31T22:18:05.000Z,1090000,1961,478876765,2019-07-18 17:30:02,28,23827,446,50,0.016619801066017542,0.354294904568649,0.016619801066017542
_A2rBkLPlr8,Laugh Factory,2006-07-31T22:18:05.000Z,1090000,1961,478876765,2019-07-17 17:30:01,84,22466,538,141,0.0176711475117956,0.3780477048437848,0.0176711475117956
4YVQJOPO870,Laugh Factory,2006-07-31T22:18:05.000Z,1090000,1961,478876765,2019-07-16 17:30:00,28,9796,357,13,0.03511637403021641,0.7721832278301118,0.03511637403021641
xU3aRAe81HQ,Laugh Factory,2006-07-31T22:18:05.000Z,1090000,1961,478876765,2019-07-12 17:30:00,46,50685,644,46,0.01179836243464536,0.24536537966303734,0.01179836243464536
