title,published_at,subscriberCount,videoCount,viewCount,video_published_date,video_commentCount,video_viewCount,video_likeCount,video_dislikeCount,video_favoriteCount,video_id
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-11-02T18:00:02.000Z,7,14112,229,30,0,Nvoy351kOi8
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-11-06T18:00:07.000Z,52,42392,1271,40,0,Oq83Erppw5E
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-11-04T18:00:01.000Z,839,432025,14896,422,0,4CGtfXOTZ4w
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-11-01T17:00:12.000Z,721,483780,13524,670,0,nq8H6qSCjMw
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-10-30T17:00:00.000Z,28,14087,328,38,0,2UTy1NHVCBE
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-10-28T17:00:04.000Z,115,103317,2462,168,0,Gv9W-Y0gsjQ
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-10-26T18:00:01.000Z,10,8569,80,30,0,CN-U9woJUuQ
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-10-25T17:00:12.000Z,24,29935,684,35,0,o0_Oh_cCsyw
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-10-23T17:00:12.000Z,59,34629,894,69,0,v3jfBijLYiw
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-10-18T17:00:12.000Z,47,44388,944,34,0,qU1HjgAL-Bw
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-10-12T18:00:02.000Z,20,11333,147,32,0,Kh3rI5R1Lhs
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-10-16T17:00:08.000Z,172,36809,1081,118,0,WhNOmywxDM4
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-10-14T17:00:03.000Z,58,44355,1011,76,0,GOgrhUnIDi8
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-10-05T18:00:04.000Z,9,11991,202,29,0,rNUEskR66N0
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-10-07T17:00:04.000Z,219,413368,11256,164,0,eZCCCgq3f6s
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-10-11T17:00:01.000Z,335,623437,11460,444,0,Bi4oOMRKtrs
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-10-09T17:00:07.000Z,607,479677,9982,550,0,eVpxJOArVhY
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-10-04T17:00:04.000Z,187,179844,4859,187,0,SyghVgT_MAA
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-10-02T17:00:07.000Z,211,279163,5341,161,0,ngwhN0w0T-g
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-10-21T17:00:06.000Z,103,182291,4017,108,0,_lc2iXcGJyg
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-09-28T18:00:04.000Z,26,13120,197,35,0,_1Uij2qoEJM
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-09-21T18:00:02.000Z,13,12370,229,29,0,QKpfhMK2hAY
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-09-27T17:00:04.000Z,146,162287,4835,85,0,LgXe4FJS5Yw
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-09-23T17:00:07.000Z,33,59362,1205,76,0,dguUaQHb7VM
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-09-14T18:00:08.000Z,61,10099,140,155,0,v-JWTcR05kM
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-09-16T17:00:01.000Z,108,39043,947,192,0,8bo8fiCyqsM
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-09-20T17:00:14.000Z,40,15739,255,119,0,y05sN44kRKc
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-09-18T17:00:04.000Z,839,902812,26846,336,0,RSK7H_hNxbM
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-09-07T18:00:06.000Z,34,12585,243,34,0,ndHdUDRQQCQ
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-09-13T17:00:03.000Z,56,51589,1559,57,0,KrEwA_6jmz8
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-09-11T17:00:12.000Z,80,33455,955,72,0,XTpy4KwbleY
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-09-09T17:00:00.000Z,24,21564,471,77,0,FsE3fCoPfJY
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-09-06T17:00:04.000Z,84,58038,1533,98,0,EHHhDIjlF9k
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-09-04T17:00:07.000Z,216,299221,6779,447,0,bhRbeFL5-OE
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-09-02T17:00:03.000Z,83,147845,2506,200,0,c6urDkdCvbc
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-08-30T17:00:05.000Z,128,93035,2408,193,0,ROL-ye9YXKA
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-08-27T17:00:04.000Z,1085,810495,33301,2407,0,T0lGP0FeZ7Y
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-08-23T17:00:08.000Z,178,258322,5748,158,0,qCl428YCHuI
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-08-21T17:00:09.000Z,129,97668,2106,94,0,qMjcLMewGmY
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-08-16T17:00:04.000Z,145,113754,2776,191,0,LD7bbBrk8AU
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-08-19T17:00:04.000Z,123,75887,2148,121,0,GsKJYWsBJCA
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-08-14T17:00:02.000Z,30,22292,551,88,0,EnNdfHVHI6Y
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-08-12T17:00:01.000Z,693,482344,11350,323,0,arYi03bQ0FY
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-08-09T17:00:01.000Z,383,519168,10180,333,0,36VT2nIevXc
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-08-07T17:00:11.000Z,151,146265,3121,105,0,yKn0xxhWmzQ
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-08-05T17:00:03.000Z,398,624238,13673,491,0,HXxRs4VXrl4
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-08-01T17:00:09.000Z,141,119284,2442,226,0,uIDtAZIuCm0
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-07-31T17:00:05.000Z,166,60254,1792,190,0,l7hcHAXudlE
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-07-23T17:00:05.000Z,209,294299,5609,152,0,n2YZ1iuGjAo
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-07-22T17:00:04.000Z,166,62758,1258,425,0,RR2-FfIaI3c
